user,time,,checkin_checkout,,
25,2/1/2022 2:19,1,1,1,0
8,2/1/2022 11:10,1,0,1,0
11,2/1/2022 11:33,1,0,1,0
20,2/1/2022 11:55,1,0,1,0
18,2/1/2022 11:55,1,0,1,0
4,2/1/2022 12:09,1,0,1,0
9,2/1/2022 12:11,1,0,1,0
6,2/1/2022 12:15,1,0,1,0
10,2/1/2022 12:28,1,0,1,0
3,2/1/2022 12:29,1,0,1,0
7,2/1/2022 12:50,1,0,1,0
12,2/1/2022 12:54,1,0,1,0
14,2/1/2022 13:03,1,0,1,0
28,2/1/2022 13:05,1,0,1,0
17,2/1/2022 13:21,1,0,1,0
13,2/1/2022 13:46,1,0,1,0
1,2/1/2022 13:46,1,0,1,0
25,2/1/2022 13:48,1,0,1,0
19,2/1/2022 14:18,1,0,1,0
27,2/1/2022 14:38,1,0,1,0
5,2/1/2022 14:39,1,0,1,0
4,2/1/2022 15:02,1,1,1,0
200,2/1/2022 15:06,1,0,1,0
15,2/1/2022 15:37,1,0,1,0
13,2/1/2022 19:34,1,1,1,0
200,2/1/2022 20:02,1,1,1,0
5,2/1/2022 20:22,1,1,1,0
6,2/1/2022 20:23,1,1,1,0
28,2/1/2022 20:25,1,1,1,0
17,2/1/2022 20:53,1,1,1,0
1,2/1/2022 20:58,1,1,1,0
7,2/1/2022 20:59,1,1,1,0
11,2/1/2022 21:00,1,1,1,0
14,2/1/2022 21:00,1,1,1,0
10,2/1/2022 21:01,1,1,1,0
3,2/1/2022 21:01,1,1,1,0
12,2/1/2022 21:01,1,1,1,0
9,2/1/2022 21:07,1,1,1,0
19,2/1/2022 21:16,1,1,1,0
18,2/1/2022 21:29,1,1,1,0
20,2/1/2022 21:29,1,1,1,0
15,2/1/2022 21:48,1,1,1,0
25,2/1/2022 22:08,1,1,1,0
8,2/1/2022 23:30,1,1,1,0
8,2/2/2022 0:10,1,1,1,0
25,2/2/2022 10:27,1,0,1,0
8,2/2/2022 12:09,1,0,1,0
11,2/2/2022 12:15,1,0,1,0
10,2/2/2022 12:40,1,0,1,0
7,2/2/2022 12:40,1,0,1,0
3,2/2/2022 12:40,1,0,1,0
6,2/2/2022 12:40,1,0,1,0
9,2/2/2022 12:51,1,0,1,0
28,2/2/2022 12:51,1,0,1,0
1,2/2/2022 12:54,1,0,1,0
4,2/2/2022 12:54,1,0,1,0
14,2/2/2022 12:57,1,0,1,0
12,2/2/2022 13:01,1,0,1,0
18,2/2/2022 13:03,1,0,1,0
20,2/2/2022 13:03,1,0,1,0
17,2/2/2022 13:10,1,0,1,0
13,2/2/2022 13:44,1,0,1,0
200,2/2/2022 13:56,1,0,1,0
19,2/2/2022 14:07,1,0,1,0
27,2/2/2022 14:45,1,0,1,0
15,2/2/2022 15:12,1,0,1,0
5,2/2/2022 16:07,1,0,1,0
